order_id,product_id,add_to_cart_order,reordered,special,user_id,store_id,distance,order_number,order_dow,order_hour_of_day,days_since_prior_order
15,19660,1,1,15,54901,1,0.3046080026893478,51,3,11,2.0
95,22035,4,1,0,187742,5,2.1908704958202234,39,5,7,5.0
95,39928,6,1,30,187742,5,2.1908704958202234,39,5,7,5.0
95,21137,8,1,0,187742,5,2.1908704958202234,39,5,7,5.0
95,47766,10,1,30,187742,5,2.1908704958202234,39,5,7,5.0
95,49683,12,1,15,187742,5,2.1908704958202234,39,5,7,5.0
227,45066,1,1,0,100142,2,1.1495448474049188,35,1,21,2.0
446,26209,4,1,0,22274,5,0.5115727162493587,93,5,13,0.0
462,47766,3,1,0,103166,1,1.0208022156666106,4,5,18,4.0
462,21137,4,1,0,103166,1,1.0208022156666106,4,5,18,4.0
462,39275,5,1,0,103166,1,1.0208022156666106,4,5,18,4.0
462,43961,7,1,0,103166,1,1.0208022156666106,4,5,18,4.0
626,13176,2,1,0,10747,0,2.2728723716726087,78,3,13,2.0
626,30391,4,1,15,10747,0,2.2728723716726087,78,3,13,2.0
626,16797,8,1,0,10747,0,2.2728723716726087,78,3,13,2.0
724,27966,4,1,15,200297,1,0.5939290742963714,13,2,9,5.0
724,21137,5,1,0,200297,1,0.5939290742963714,13,2,9,5.0
724,47209,6,1,0,200297,1,0.5939290742963714,13,2,9,5.0
925,27521,6,1,0,131093,5,1.818645278521956,94,1,10,2.0
925,5876,7,1,0,131093,5,1.818645278521956,94,1,10,2.0
925,43122,11,1,30,131093,5,1.818645278521956,94,1,10,2.0
925,43961,12,1,30,131093,5,1.818645278521956,94,1,10,2.0
925,45007,14,1,0,131093,5,1.818645278521956,94,1,10,2.0
925,39928,17,1,0,131093,5,1.818645278521956,94,1,10,2.0
925,4920,18,0,0,131093,5,1.818645278521956,94,1,10,2.0
925,28985,21,1,0,131093,5,1.818645278521956,94,1,10,2.0
925,4605,22,1,0,131093,5,1.818645278521956,94,1,10,2.0
1108,28204,1,1,0,14437,5,1.7013868111738972,23,5,16,2.0
1108,24852,6,1,0,14437,5,1.7013868111738972,23,5,16,2.0
1424,27086,3,1,0,21469,4,1.0431874483958814,25,4,16,2.0
1565,1463,2,1,0,24659,9,2.472608937422484,76,2,19,3.0
1565,33198,3,1,15,24659,9,2.472608937422484,76,2,19,3.0
2248,21137,1,1,0,143714,6,2.6946290853723243,49,5,17,2.0
2248,8518,5,1,0,143714,6,2.6946290853723243,49,5,17,2.0
2562,47626,1,1,30,12102,0,1.0273937637694592,14,3,8,2.0
2562,24852,2,1,30,12102,0,1.0273937637694592,14,3,8,2.0
2562,45066,3,1,0,12102,0,1.0273937637694592,14,3,8,2.0
2607,47766,3,0,50,134883,0,1.1076674481433066,4,6,9,2.0
2661,34126,2,0,50,205543,9,0.3864156745256933,15,4,12,1.0
2661,9387,5,0,50,205543,9,0.3864156745256933,15,4,12,1.0
2661,39275,8,1,0,205543,9,0.3864156745256933,15,4,12,1.0
2661,10749,9,0,0,205543,9,0.3864156745256933,15,4,12,1.0
2716,13176,2,1,0,189304,1,1.9109150771099523,60,5,9,1.0
2716,21137,3,1,15,189304,1,1.9109150771099523,60,5,9,1.0
2716,27966,4,1,0,189304,1,1.9109150771099523,60,5,9,1.0
2716,28199,5,1,15,189304,1,1.9109150771099523,60,5,9,1.0
2978,45066,7,1,50,100142,9,1.060671787850152,59,0,13,7.0
3138,19660,1,1,15,185406,1,0.4603901973263319,92,1,8,10.0
3435,5450,9,1,0,34065,0,2.181969561923956,47,3,14,3.0
3435,24852,13,1,0,34065,0,2.181969561923956,47,3,14,3.0
3435,38689,14,1,0,34065,0,2.181969561923956,47,3,14,3.0
3435,45007,18,1,0,34065,0,2.181969561923956,47,3,14,3.0
3610,27845,1,1,0,193551,5,0.9295665589763168,8,5,12,4.0
3610,13176,2,1,0,193551,5,0.9295665589763168,8,5,12,4.0
3610,21137,3,1,0,193551,5,0.9295665589763168,8,5,12,4.0
3610,38777,5,0,0,193551,5,0.9295665589763168,8,5,12,4.0
3750,5450,5,1,0,148917,5,1.055209139679349,76,1,12,2.0
3750,40706,6,1,15,148917,5,1.055209139679349,76,1,12,2.0
4019,13176,3,1,30,40188,5,0.9762355616261682,11,5,8,1.0
4165,13176,1,1,0,201135,1,2.669275797089212,7,5,7,2.0
4197,8277,2,1,0,133983,9,1.9373812502071968,44,1,16,3.0
4197,13176,7,1,15,133983,9,1.9373812502071968,44,1,16,3.0
4197,43122,10,1,15,133983,9,1.9373812502071968,44,1,16,3.0
4197,38159,11,1,0,133983,9,1.9373812502071968,44,1,16,3.0
4238,17794,2,1,0,123143,3,1.5469281929929872,97,1,10,3.0
4238,16797,6,1,0,123143,3,1.5469281929929872,97,1,10,3.0
4352,21137,1,0,0,70860,1,1.3067072891059228,15,0,11,0.0
4870,49235,2,1,30,130036,7,1.8956503600499488,76,3,19,2.0
4870,10749,3,1,0,130036,7,1.8956503600499488,76,3,19,2.0
4870,48679,7,1,50,130036,7,1.8956503600499488,76,3,19,2.0
5576,21903,2,0,30,179373,8,0.7046488185300166,3,5,22,1.0
5576,35951,3,1,0,179373,8,0.7046488185300166,3,5,22,1.0
5576,27104,4,0,0,179373,8,0.7046488185300166,3,5,22,1.0
5969,26209,3,1,0,36376,6,1.5957726702205757,49,3,11,8.0
5971,45066,1,1,0,145454,4,1.5269791582149166,80,4,11,7.0
5971,47766,4,1,0,145454,4,1.5269791582149166,80,4,11,7.0
5971,24852,9,1,0,145454,4,1.5269791582149166,80,4,11,7.0
6091,26209,1,1,0,143948,3,0.4974981489563061,12,2,10,2.0
6091,45066,2,1,0,143948,3,0.4974981489563061,12,2,10,2.0
6321,31506,2,1,0,20487,4,1.237211247608886,39,3,2,14.0
6321,21903,3,1,15,20487,4,1.237211247608886,39,3,2,14.0
7091,30489,2,1,0,141736,8,1.5186714534171797,21,3,12,2.0
7091,49235,5,1,15,141736,8,1.5186714534171797,21,3,12,2.0
7091,27845,6,1,0,141736,8,1.5186714534171797,21,3,12,2.0
7091,35951,9,1,0,141736,8,1.5186714534171797,21,3,12,2.0
7091,44632,11,1,0,141736,8,1.5186714534171797,21,3,12,2.0
7280,16797,1,1,0,24609,9,1.2692474444118167,89,0,10,4.0
7280,24852,3,1,50,24609,9,1.2692474444118167,89,0,10,4.0
7469,33198,1,1,0,160426,0,1.9445917769251544,42,5,9,2.0
7469,5785,5,1,0,160426,0,1.9445917769251544,42,5,9,2.0
7469,47626,10,1,0,160426,0,1.9445917769251544,42,5,9,2.0
7490,47209,3,1,0,149567,4,1.4848078164221932,76,0,14,1.0
7490,24838,6,1,0,149567,4,1.4848078164221932,76,0,14,1.0
7563,12341,1,1,0,168497,5,1.9647685628979976,85,6,10,1.0
7563,13176,2,1,0,168497,5,1.9647685628979976,85,6,10,1.0
7817,24852,2,1,15,137629,6,0.3996524441098204,88,4,10,6.0
7817,27845,4,1,50,137629,6,0.3996524441098204,88,4,10,6.0
7817,49235,7,1,0,137629,6,0.3996524441098204,88,4,10,6.0
7817,43352,40,1,0,137629,6,0.3996524441098204,88,4,10,6.0
7983,49235,3,1,30,43123,4,1.5611200609482438,58,5,9,0.0
8096,13176,1,1,0,143177,7,1.373872438832617,8,5,8,4.0
8096,47209,2,1,0,143177,7,1.373872438832617,8,5,8,4.0
8096,1463,4,1,15,143177,7,1.373872438832617,8,5,8,4.0
8096,21903,5,1,0,143177,7,1.373872438832617,8,5,8,4.0
8587,27966,8,1,0,63793,0,1.3725061279442137,47,5,9,4.0
8587,38777,9,1,0,63793,0,1.3725061279442137,47,5,9,4.0
8754,16797,1,1,0,51309,1,1.0163781869964836,71,1,17,5.0
8754,13176,3,1,0,51309,1,1.0163781869964836,71,1,17,5.0
8754,27086,4,1,0,51309,1,1.0163781869964836,71,1,17,5.0
8754,24964,5,1,0,51309,1,1.0163781869964836,71,1,17,5.0
8769,47766,7,1,0,70742,6,0.8003960602045533,41,3,8,1.0
8775,4210,3,1,0,29046,1,1.5391802577929177,71,1,9,1.0
8775,5876,4,1,0,29046,1,1.5391802577929177,71,1,9,1.0
8827,21903,1,1,0,124838,2,0.5527120328410963,71,3,15,1.0
8827,41950,3,0,30,124838,2,0.5527120328410963,71,3,15,1.0
8827,17794,4,1,0,124838,2,0.5527120328410963,71,3,15,1.0
9127,24852,1,1,0,156964,1,1.0254160360978195,58,4,12,4.0
9127,26209,2,1,0,156964,1,1.0254160360978195,58,4,12,4.0
9127,26604,3,1,0,156964,1,1.0254160360978195,58,4,12,4.0
9127,21903,9,1,0,156964,1,1.0254160360978195,58,4,12,4.0
9127,43122,10,1,0,156964,1,1.0254160360978195,58,4,12,4.0
9236,43961,7,1,30,167316,5,0.7759405698874307,40,2,8,3.0
9236,39877,8,1,0,167316,5,0.7759405698874307,40,2,8,3.0
9236,13176,11,1,0,167316,5,0.7759405698874307,40,2,8,3.0
9649,27521,3,1,0,131093,8,0.5445701401305681,72,6,21,2.0
9649,13176,4,1,0,131093,8,0.5445701401305681,72,6,21,2.0
